Generation: ,0,#,#,#,fitness
3,7,23,25,31,0.09385805999125324
16,18,21,32,45,0.040011337168244364
26,31,32,38,45,0.021587685776244862
3,26,27,33,34,0.015012532153063815
12,23,35,41,42,0.014203598729060914
2,7,8,9,30,0.012602483865552823
8,15,35,46,49,0.007610984504202997
9,12,23,42,47,0.002411510588560675
40,44,45,46,48,0.0023588284739284775
3,28,29,37,41,0.0011693454662400498
30,35,42,46,48,0.0007851197843342351
4,16,38,43,50,0.000544651510077589
3,12,17,29,39,0.0003320940772150046
6,9,10,11,13,0.0002531482111574893
3,20,27,40,48,0.0002052618229782243
20,27,38,39,48,0.00017020786272495914
11,17,26,29,33,0.00015605646616638318
18,33,41,47,50,0.00011075069367334788
10,14,31,40,49,0.00010994585274689972
3,10,12,23,36,5.755776024995305e-06
Generation: ,1,#,#,#,fitness
23,25,31,32,45,0.09414857462254488
3,7,23,25,31,0.09385805999125324
3,7,11,25,31,0.08635054955386554
21,26,31,32,45,0.06583506021229382
16,18,21,32,33,0.05695659207754075
16,18,21,32,45,0.040011337168244364
16,18,21,31,45,0.03729123278654174
7,23,25,32,38,0.02451671832089765
3,26,33,35,46,0.0225418092498239
26,31,32,38,45,0.021587685776244862
3,26,27,33,34,0.015012532153063815
26,31,32,38,46,0.011974979980282767
8,15,35,46,49,0.007610984504202997
40,44,45,46,48,0.0023588284739284775
26,38,45,46,48,0.0013632154656009132
37,38,40,44,45,0.0010348763782722238
20,40,44,46,48,0.0005933699280419532
20,26,40,45,48,0.000492838596278369
3,20,27,40,48,0.0002052618229782243
20,27,38,39,48,0.00017020786272495914
Generation: ,2,#,#,#,fitness
3,7,25,32,45,0.14154229702624865
3,7,21,25,31,0.09438455080149163
23,25,31,32,45,0.09414857462254488
3,7,23,25,31,0.09385805999125324
3,7,11,25,31,0.08635054955386554
21,26,31,32,45,0.06583506021229382
9,20,32,44,45,0.04299032613182174
26,31,32,38,45,0.021587685776244862
7,25,26,32,38,0.014763984642607949
32,38,42,45,46,0.011409453706071056
7,14,25,26,45,0.007680844863363781
21,32,37,38,44,0.005291794343192902
3,23,26,38,46,0.0049300580425548
26,31,37,40,45,0.002531997460994202
26,31,38,46,48,0.0016983658892493272
31,37,38,40,45,0.0013864372214332486
26,38,45,46,48,0.0013632154656009132
37,38,40,44,45,0.0010348763782722238
20,26,38,40,45,0.0006098808823398078
20,40,44,46,48,0.0005933699280419532
Generation: ,3,#,#,#,fitness
3,7,25,32,45,0.14154229702624865
3,7,21,25,31,0.09438455080149163
23,25,31,32,45,0.09414857462254488
3,7,23,25,31,0.09385805999125324
9,20,32,44,45,0.04299032613182174
3,7,25,28,31,0.03525254024222904
3,7,25,31,40,0.024673428929616308
7,18,23,25,32,0.023851319717909655
3,9,20,23,45,0.023711537281714108
7,25,26,32,38,0.014763984642607949
26,31,32,39,40,0.010963833321767452
3,7,26,46,50,0.007512601574030815
23,38,43,45,46,0.006997767766516821
7,25,26,46,48,0.004950954164227481
18,26,32,45,48,0.0031958688759260393
26,31,37,40,45,0.002531997460994202
3,7,38,48,50,0.0014059119879810086
26,38,45,46,48,0.0013632154656009132
15,22,26,37,40,0.00036734786267191276
10,26,31,45,48,0.00021476875066032684
Generation: ,4,#,#,#,fitness
3,7,23,32,45,0.16344029581890074
3,7,25,32,45,0.14154229702624865
3,7,21,25,31,0.09438455080149163
23,25,31,32,45,0.09414857462254488
3,7,23,25,31,0.09385805999125324
3,25,32,45,46,0.05677791691340156
7,23,25,26,32,0.044773948348162985
