Generation: ,0,#,#,#,fitness
9,12,13,18,26,0.015250665490516816
2,9,22,27,33,0.014043888748073967
8,26,28,33,41,0.010368926676197886
11,18,22,25,46,0.009828431136136009
5,13,28,30,32,0.00871764547785072
19,32,39,45,48,0.008106725773840548
3,6,13,33,38,0.007094266514787627
8,9,18,23,50,0.004937936999130209
11,13,14,24,48,0.002330431549943572
3,5,17,25,44,0.0005377837952992597
1,28,29,35,47,0.00035495693912993947
3,7,15,19,47,0.00028386248681729986
2,5,15,20,38,0.00026021850906816625
5,17,22,40,46,0.00015081861284295725
1,32,36,37,38,2.856924730043733e-05
4,17,23,28,44,1.8606576663104507e-05
14,27,34,36,49,1.6232068190582195e-05
12,13,17,18,47,8.123066436389716e-06
10,19,25,27,47,3.3027243191469543e-06
17,35,36,37,44,2.5102734587467973e-07
Generation: ,1,#,#,#,fitness
2,7,9,22,33,0.10487739883139102
7,9,21,32,42,0.09247253350705938
6,7,9,13,44,0.030220510239251274
3,8,26,28,33,0.024356192402970617
9,24,25,26,35,0.021188300803668552
9,12,13,18,26,0.015250665490516816
2,9,22,27,33,0.014043888748073967
8,26,28,33,41,0.010368926676197886
2,8,26,33,41,0.010074585769779295
11,18,22,25,46,0.009828431136136009
5,13,28,30,32,0.00871764547785072
3,21,25,35,38,0.006890898182456032
3,9,28,44,48,0.006241715146795858
3,8,28,30,41,0.0034783439065119532
5,17,22,40,46,0.00015081861284295725
7,10,13,30,48,9.68300527319565e-05
1,32,36,37,38,2.856924730043733e-05
3,32,36,37,38,2.1907907111509628e-05
2,10,21,28,50,1.937811946199653e-05
12,13,17,18,47,8.123066436389716e-06
Generation: ,2,#,#,#,fitness
2,7,9,22,33,0.10487739883139102
7,9,21,32,42,0.09247253350705938
8,24,25,28,33,0.03957797002576365
6,7,9,13,44,0.030220510239251274
3,8,26,28,33,0.024356192402970617
2,9,22,27,33,0.014043888748073967
3,21,25,35,38,0.006890898182456032
3,9,28,44,48,0.006241715146795858
9,25,31,38,40,0.004630825623935799
3,8,28,30,41,0.0034783439065119532
3,8,18,30,41,0.0029708583318333367
19,24,26,30,43,0.002914914396332601
7,15,22,28,48,0.0016330145003060992
10,12,19,23,25,0.0005013274263585653
8,28,30,31,47,0.00038396530665493376
17,33,42,48,49,0.00016752210087364985
6,7,9,36,44,0.00010538146424536886
11,17,27,28,40,5.4260763469155435e-06
17,23,34,36,43,1.1418153967506363e-06
20,36,45,47,50,5.974388929677024e-07
Generation: ,3,#,#,#,fitness
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
7,9,21,32,42,0.09247253350705938
5,8,9,12,27,0.046067627730072856
2,7,9,22,46,0.04086859288953212
8,24,25,28,33,0.03957797002576365
9,13,26,32,42,0.032825040879551994
6,7,9,13,44,0.030220510239251274
6,8,21,24,35,0.013507138260140269
9,27,38,39,45,0.003804879243316825
3,8,28,30,41,0.0034783439065119532
3,8,18,30,41,0.0029708583318333367
19,24,26,30,43,0.002914914396332601
1,2,9,18,20,0.002575489503687465
8,28,30,39,41,0.0022994485679788314
3,9,30,32,47,0.0013170948239094864
8,28,30,31,47,0.00038396530665493376
18,19,28,39,48,0.00036989020618750863
22,24,36,43,46,0.00019475488091926023
4,5,10,14,18,1.0096914527945963e-05
Generation: ,4,#,#,#,fitness
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
7,9,21,32,42,0.09247253350705938
5,8,9,12,27,0.046067627730072856
6,7,9,13,44,0.030220510239251274
5,8,9,27,39,0.02120684456222491
6,7,9,13,41,0.013332039499062216
9,12,28,32,48,0.012884363887448416
3,8,16,18,50,0.008917125659235794
3,20,24,39,41,0.008896479198299506
3,8,28,30,41,0.0034783439065119532
8,28,30,39,41,0.0022994485679788314
6,26,32,37,46,0.001680197796370321
6,38,44,48,49,0.0015157301615277216
3,9,30,32,47,0.0013170948239094864
2,9,28,30,39,0.0012901838605821297
6,15,16,21,37,0.0006513211311399596
10,19,26,32,49,0.0006449453597150343
2,8,34,36,41,5.050241442923888e-05
3,9,10,30,47,1.621520164857543e-05
Generation: ,5,#,#,#,fitness
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
7,9,21,33,42,0.09847604713252908
7,9,21,32,42,0.09247253350705938
5,8,9,12,27,0.046067627730072856
7,21,32,41,42,0.03558546145809995
5,8,9,27,39,0.02120684456222491
5,15,16,33,41,0.014096509115726194
5,6,12,14,31,0.008225561644598983
8,9,27,33,40,0.00815062868230075
4,21,25,33,46,0.005274515153137961
5,6,18,23,42,0.0024150458631234484
2,7,10,22,33,0.0016189756807676882
11,19,20,44,50,0.0014142623885715353
3,9,30,32,47,0.0013170948239094864
8,21,29,30,47,0.0003601213099364605
10,14,21,32,42,0.00016841626013553058
9,16,25,36,48,6.524629781095101e-05
2,8,34,36,41,5.050241442923888e-05
3,9,10,30,47,1.621520164857543e-05
Generation: ,6,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
7,9,21,33,42,0.09847604713252908
7,9,22,33,38,0.09476497652310974
7,9,21,32,42,0.09247253350705938
1,8,11,26,49,0.07447719979427726
9,21,33,35,42,0.03817969297179684
7,21,32,41,42,0.03558546145809995
5,6,23,32,42,0.014144204778126107
16,26,37,38,45,0.003623450474385148
6,22,25,37,39,0.0030984121268858105
22,23,35,45,47,0.0025718671472815947
5,6,18,23,42,0.0024150458631234484
8,11,34,36,41,0.00012731906337994607
9,10,25,29,50,0.00011190720635147834
2,8,34,36,41,5.050241442923888e-05
2,4,15,27,37,1.735007729333152e-05
3,9,10,30,47,1.621520164857543e-05
10,25,26,47,48,3.7206690023950704e-06
Generation: ,7,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
2,7,9,22,32,0.09848363190814402
7,9,21,33,42,0.09847604713252908
5,8,12,21,46,0.09261570094080206
7,21,32,41,42,0.03558546145809995
5,8,9,15,22,0.032493725063017814
1,13,18,31,37,0.007428653710606735
22,27,39,40,49,0.005787100756260437
2,3,25,29,35,0.004651917199653942
6,7,14,16,29,0.0037636366694202535
16,26,37,38,45,0.003623450474385148
5,6,18,23,42,0.0024150458631234484
5,6,18,19,23,0.001849006503053935
1,12,20,30,47,0.0004195729269316727
15,25,27,38,42,0.00021260607847396884
9,10,25,29,50,0.00011190720635147834
6,11,23,36,44,3.3290139453770134e-05
14,36,40,43,49,8.982930889601024e-06
Generation: ,8,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
2,7,9,22,32,0.09848363190814402
5,8,15,22,31,0.03797312014328745
5,8,19,25,44,0.037622276590448
8,9,20,22,29,0.027089438245971834
1,12,20,22,50,0.015487981885119524
3,7,14,24,29,0.013324149920797411
8,28,35,44,50,0.003800290754157141
6,7,14,16,29,0.0037636366694202535
14,38,39,43,49,0.0025112870987658406
5,6,18,23,42,0.0024150458631234484
5,6,18,19,23,0.001849006503053935
4,14,33,40,49,0.0008969005456058472
21,26,45,46,47,0.0007681464941197049
7,14,29,48,50,0.0004427864324483504
4,23,40,45,47,7.062888377870324e-05
14,32,36,43,49,6.420096311513463e-05
14,36,40,43,49,8.982930889601024e-06
Generation: ,9,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
2,7,9,22,32,0.09848363190814402
7,12,22,24,30,0.08515581571052756
5,6,8,9,22,0.05595234825657015
3,19,22,42,49,0.05005434569286777
2,9,22,33,43,0.044446976685856766
5,8,15,22,31,0.03797312014328745
5,8,15,22,34,0.03260166409609365
11,31,34,39,41,0.02939896853332749
24,34,39,48,49,0.024719849743697644
12,13,37,43,49,0.022975479841985374
2,8,16,21,42,0.020824271653752804
3,7,14,24,29,0.013324149920797411
2,6,22,32,50,0.0025623275065159014
5,6,18,19,23,0.001849006503053935
10,11,13,42,43,0.0003393975551500054
3,25,31,35,36,0.00014619424565823655
14,36,40,43,49,8.982930889601024e-06
Generation: ,10,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
2,7,9,22,33,0.10487739883139102
11,16,31,34,39,0.10185628639783106
2,7,9,22,32,0.09848363190814402
1,22,26,34,46,0.06149032470803049
16,22,41,43,44,0.06116849908908276
5,8,9,18,31,0.05111815569715778
11,12,16,31,37,0.0406815888925331
5,8,15,22,31,0.03797312014328745
1,23,26,33,38,0.016498412664988117
1,12,18,28,35,0.007333663010733787
1,19,33,40,41,0.006892550080638482
9,15,16,19,35,0.004940285078825162
2,6,22,32,50,0.0025623275065159014
10,11,13,42,43,0.0003393975551500054
2,6,10,22,32,0.00022925493215914555
3,25,31,35,36,0.00014619424565823655
4,5,15,20,38,0.0001177562417028547
1,2,3,36,47,4.0599679620914225e-06
Generation: ,11,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
1,5,7,26,32,0.1395684232231007
2,7,9,22,33,0.10487739883139102
5,11,16,31,39,0.10354913521568454
11,16,31,34,39,0.10185628639783106
16,22,41,43,44,0.06116849908908276
1,12,18,22,28,0.020416051347174235
16,33,40,49,50,0.012232245935977047
1,12,18,28,35,0.007333663010733787
7,15,34,42,46,0.006516892287495643
4,5,9,23,50,0.0022986772525385403
4,5,15,20,49,0.0006839846635348721
25,37,43,48,50,0.00031934672190291557
2,6,10,22,32,0.00022925493215914555
1,17,18,25,32,0.00021158980022669812
15,27,39,43,50,0.00019859307329741336
4,5,15,20,38,0.0001177562417028547
17,25,30,33,42,8.482740697039378e-05
6,10,28,31,50,2.7100992283642547e-05
Generation: ,12,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
7,13,22,33,42,0.157955174094925
1,5,7,26,32,0.1395684232231007
2,7,9,22,33,0.10487739883139102
5,8,21,31,35,0.08058674104316778
16,22,41,43,44,0.06116849908908276
2,7,22,33,37,0.019346947251667784
5,16,21,37,39,0.017866358408825094
4,5,20,33,49,0.008039969563119462
1,12,18,28,35,0.007333663010733787
1,21,26,30,50,0.0019400467900326564
5,12,17,34,46,0.0007997124522099571
4,5,15,20,49,0.0006839846635348721
26,29,40,46,48,0.00047430460690319723
1,17,18,25,32,0.00021158980022669812
4,5,15,20,37,9.871078347673334e-05
13,22,36,40,41,3.460394964384733e-05
14,17,25,43,46,2.9270575448748385e-05
4,5,17,27,34,2.2665712633040683e-05
Generation: ,13,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
1,3,8,21,49,0.1830971782416494
7,13,22,33,42,0.157955174094925
1,5,7,26,32,0.1395684232231007
5,16,21,37,39,0.017866358408825094
5,9,26,40,49,0.016325147973121307
26,27,34,42,49,0.007584546216396346
1,12,18,28,35,0.007333663010733787
15,29,32,33,46,0.00719436056021504
12,14,28,29,49,0.004627368624627232
5,15,20,29,49,0.002540620557589099
8,13,15,40,41,0.001181185351125332
4,5,15,20,49,0.0006839846635348721
2,4,6,31,42,0.0005198107082845889
3,10,21,22,27,0.0004044151154787154
13,22,36,40,41,3.460394964384733e-05
13,22,36,41,50,3.403066359705854e-05
4,15,27,38,50,1.466260699590836e-05
10,13,18,37,47,2.735245879851569e-06
Generation: ,14,#,#,#,fitness
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
1,3,8,21,49,0.1830971782416494
7,13,22,33,42,0.157955174094925
3,5,22,31,43,0.14726463559546155
12,24,28,29,49,0.03088370799979803
12,22,27,41,45,0.020235259829443148
27,29,33,43,44,0.008085359174650012
12,14,28,29,49,0.004627368624627232
1,6,32,48,50,0.0015752717505832625
20,21,23,29,50,0.0013256008139931107
16,18,39,47,49,0.0012722011912930397
8,13,15,40,41,0.001181185351125332
4,5,6,12,18,0.0010852256401908376
5,8,10,21,28,0.0005305769942365457
2,4,6,31,42,0.0005198107082845889
4,15,27,38,49,0.00010862983773287436
4,15,27,38,50,1.466260699590836e-05
10,15,20,38,40,2.836895858096468e-06
6,28,36,37,48,7.65851032160211e-07
Generation: ,15,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
1,3,8,21,49,0.1830971782416494
7,13,22,33,42,0.157955174094925
3,5,22,31,43,0.14726463559546155
12,24,28,29,49,0.03088370799979803
3,12,26,28,29,0.00859353400028857
